NO2(GT),PT08.S4(NO2),T,RH,AH,Day,Month,Hour,Weekday
63.0,1333.0,11.6,62.2,0.8473,14,3,6,6
67.0,1340.0,10.4,67.6,0.853,14,3,7,6
98.0,1614.0,14.5,53.1,0.8728,14,3,10,6
119.0,1677.0,19.3,38.3,0.8474,14,3,12,6
104.0,1525.0,21.2,31.4,0.7812,14,3,13,6
102.0,1490.0,21.4,30.2,0.7616,14,3,14,6
107.0,1511.0,21.9,29.0,0.7525,14,3,15,6
129.0,1646.0,22.2,28.4,0.7516,14,3,16,6
128.0,1668.0,21.3,30.8,0.7696,14,3,17,6
121.0,1671.0,19.7,36.7,0.8307,14,3,18,6
157.0,1993.0,18.4,41.7,0.8732,14,3,19,6
146.0,1818.0,16.7,49.6,0.932,14,3,21,6
121.0,1587.0,16.3,51.0,0.9341,14,3,22,6
119.0,1617.0,14.7,55.9,0.9314,14,3,23,6
93.0,1543.0,14.0,57.0,0.9094,15,3,1,0
88.0,1566.0,13.4,61.3,0.9361,15,3,2,0
71.0,1468.0,12.3,65.4,0.9351,15,3,4,0
74.0,1464.0,11.9,67.4,0.9375,15,3,5,0
80.0,1584.0,11.4,70.5,0.9475,15,3,6,0
89.0,1710.0,11.3,70.2,0.9401,15,3,7,0
149.0,2665.0,14.8,54.3,0.9076,15,3,9,0
157.0,2262.0,17.4,45.6,0.8993,15,3,10,0
134.0,1783.0,22.0,34.1,0.8904,15,3,12,0
119.0,1831.0,23.3,32.2,0.9096,15,3,13,0
111.0,1829.0,23.9,30.0,0.8757,15,3,14,0
99.0,1675.0,24.4,29.4,0.8848,15,3,16,0
162.0,2447.0,22.5,35.4,0.9547,15,3,18,0
187.0,2679.0,20.4,42.5,1.0086,15,3,19,0
165.0,2443.0,18.3,52.6,1.0945,15,3,20,0
145.0,2058.0,16.7,57.4,1.0786,15,3,21,0
125.0,1856.0,15.7,60.2,1.0654,15,3,22,0
101.0,1547.0,15.3,61.4,1.058,15,3,23,0
103.0,1731.0,14.1,65.7,1.0494,16,3,0,1
88.0,1483.0,14.8,60.6,1.0148,16,3,1,1
61.0,1386.0,14.8,59.2,0.9879,16,3,2,1
59.0,1373.0,12.3,66.2,0.945,16,3,4,1
64.0,1418.0,11.2,68.5,0.9081,16,3,6,1
97.0,1889.0,11.7,63.7,0.8719,16,3,8,1
150.0,2211.0,17.8,42.9,0.8672,16,3,10,1
162.0,1973.0,21.4,33.3,0.8417,16,3,11,1
154.0,1868.0,24.4,27.4,0.8231,16,3,12,1
161.0,1998.0,25.3,26.1,0.8264,16,3,13,1
139.0,1778.0,23.9,25.7,0.7519,16,3,18,1
143.0,1776.0,20.4,36.7,0.8704,16,3,20,1
177.0,2106.0,19.0,41.3,0.9007,16,3,21,1
138.0,1710.0,17.9,45.9,0.9342,16,3,22,1
107.0,1547.0,15.5,52.9,0.9271,17,3,0,2
90.0,1442.0,15.5,51.9,0.9059,17,3,1,2
60.0,1303.0,12.7,57.9,0.8447,17,3,4,2
40.0,1268.0,11.8,58.0,0.8026,17,3,5,2
84.0,1556.0,9.9,65.2,0.7956,17,3,7,2
127.0,2535.0,14.1,50.0,0.802,17,3,9,2
135.0,1782.0,21.1,33.4,0.8265,17,3,11,2
142.0,1654.0,24.3,28.3,0.8471,17,3,12,2
153.0,1747.0,25.6,25.6,0.8254,17,3,13,2
123.0,1712.0,25.9,25.9,0.8503,17,3,14,2
104.0,1520.0,26.8,18.7,0.65,17,3,15,2
129.0,1679.0,29.3,15.8,0.6309,17,3,16,2
114.0,1525.0,28.5,14.9,0.5708,17,3,17,2
194.0,2414.0,23.1,26.5,0.7403,17,3,19,2
182.0,2416.0,20.5,38.2,0.9133,17,3,20,2
127.0,1778.0,16.0,50.9,0.9206,17,3,23,2
107.0,1502.0,14.3,55.4,0.8975,18,3,1,3
88.0,1407.0,14.8,52.1,0.8686,18,3,2,3
78.0,1334.0,11.6,61.9,0.8442,18,3,4,3
57.0,1307.0,12.0,58.9,0.8233,18,3,5,3
124.0,2094.0,11.5,60.0,0.8117,18,3,8,3
151.0,2468.0,14.3,50.6,0.8186,18,3,9,3
133.0,1648.0,24.2,28.7,0.8515,18,3,13,3
169.0,1767.0,27.1,23.1,0.818,18,3,16,3
156.0,1957.0,23.0,26.8,0.7446,18,3,18,3
168.0,2118.0,20.7,31.1,0.7523,18,3,19,3
176.0,2051.0,18.6,36.2,0.7676,18,3,20,3
135.0,1732.0,16.0,48.4,0.8768,18,3,21,3
121.0,1621.0,14.5,57.8,0.9456,18,3,22,3
99.0,1545.0,13.1,64.2,0.9606,18,3,23,3
106.0,1606.0,12.0,69.7,0.9735,19,3,0,4
96.0,1501.0,11.9,71.1,0.9915,19,3,1,4
63.0,1380.0,12.5,69.3,1.0029,19,3,2,4
32.0,1280.0,12.3,67.7,0.9665,19,3,4,4
28.0,1260.0,12.5,66.8,0.9620000000000001,19,3,5,4
61.0,1324.0,12.3,66.3,0.9487,19,3,6,4
157.0,2144.0,13.0,61.6,0.9209,19,3,8,4
166.0,2456.0,13.6,58.8,0.912,19,3,9,4
149.0,1980.0,13.9,57.1,0.9032,19,3,10,4
135.0,1879.0,14.5,54.4,0.8917,19,3,11,4
127.0,1751.0,15.5,50.1,0.8744,19,3,12,4
135.0,1875.0,16.3,47.1,0.8640000000000001,19,3,14,4
139.0,1957.0,16.4,47.5,0.8791,19,3,15,4
158.0,2005.0,16.0,50.7,0.9142,19,3,17,4
146.0,1952.0,15.8,50.3,0.8989,19,3,18,4
144.0,1997.0,15.5,50.6,0.884,19,3,19,4
138.0,1942.0,15.4,51.4,0.8956,19,3,20,4
116.0,1604.0,14.7,57.6,0.9573,19,3,22,4
109.0,1547.0,14.2,58.3,0.938,19,3,23,4
92.0,1447.0,13.8,57.9,0.9085,20,3,0,5
83.0,1429.0,13.9,55.9,0.8842,20,3,1,5
81.0,1382.0,13.9,55.6,0.8765,20,3,2,5
53.0,1351.0,13.6,55.1,0.856,20,3,5,5
67.0,1342.0,13.6,59.0,0.9129,20,3,6,5
91.0,1461.0,13.5,58.4,0.8959999999999999,20,3,7,5
113.0,1623.0,13.8,58.0,0.9083,20,3,8,5
113.0,1768.0,15.4,52.1,0.9046,20,3,11,5
105.0,1735.0,17.1,47.9,0.9281,20,3,13,5
93.0,1636.0,19.0,42.9,0.937,20,3,14,5
76.0,1539.0,19.5,42.3,0.9493,20,3,16,5
94.0,1649.0,19.1,43.8,0.9556,20,3,17,5
110.0,1774.0,18.5,46.3,0.9744,20,3,18,5
136.0,1919.0,17.4,51.6,1.0159,20,3,19,5
139.0,1885.0,17.1,51.3,0.9914,20,3,20,5
111.0,1712.0,16.2,55.4,1.0132,20,3,22,5
107.0,1714.0,15.7,58.6,1.0396,21,3,0,6
90.0,1577.0,15.1,60.9,1.0398,21,3,1,6
84.0,1526.0,15.6,56.6,0.9951,21,3,2,6
66.0,1461.0,14.9,60.6,1.0196,21,3,5,6
36.0,1390.0,14.5,63.0,1.0316,21,3,6,6
62.0,1492.0,14.2,66.2,1.063,21,3,7,6
91.0,1528.0,14.5,65.3,1.0704,21,3,8,6
89.0,1560.0,15.3,62.1,1.073,21,3,9,6
81.0,1646.0,18.9,49.6,1.07,21,3,11,6
82.0,1617.0,19.4,46.1,1.0249,21,3,12,6
80.0,1568.0,20.8,41.6,1.0091,21,3,13,6
89.0,1506.0,20.3,38.0,0.8942,21,3,16,6
105.0,1607.0,19.4,41.3,0.9206,21,3,17,6
119.0,1744.0,17.8,48.1,0.9689,21,3,19,6
144.0,1840.0,17.9,46.9,0.9520000000000001,21,3,20,6
123.0,1673.0,17.4,49.1,0.9688,21,3,21,6
105.0,1594.0,17.0,51.7,0.9914,21,3,22,6
86.0,1582.0,16.1,60.0,1.0919,22,3,0,0
27.0,1304.0,16.1,55.9,1.0153,22,3,4,0
23.0,1278.0,16.5,53.9,1.0049,22,3,5,0
46.0,1373.0,16.4,54.0,0.9979,22,3,6,0
116.0,1996.0,15.8,53.7,0.9571,22,3,8,0
115.0,1962.0,17.4,42.1,0.8281,22,3,9,0
83.0,1484.0,17.9,38.4,0.7793,22,3,10,0
87.0,1599.0,21.3,28.1,0.7067,22,3,13,0
99.0,1607.0,21.3,26.1,0.6539,22,3,14,0
99.0,1574.0,21.3,26.8,0.6681,22,3,15,0
101.0,1544.0,21.3,24.2,0.606,22,3,16,0
143.0,1993.0,15.6,47.4,0.8347,22,3,19,0
146.0,1965.0,15.3,47.4,0.8178,22,3,20,0
124.0,1758.0,14.5,49.7,0.8177,22,3,21,0
80.0,1370.0,14.5,49.4,0.8106,22,3,23,0
72.0,1359.0,13.8,51.4,0.8071,23,3,0,1
64.0,1309.0,14.0,51.3,0.8163,23,3,1,1
70.0,1330.0,13.0,56.8,0.8444,23,3,2,1
31.0,1261.0,10.1,76.8,0.9483,23,3,4,1
22.0,1212.0,8.8,80.5,0.9147,23,3,5,1
88.0,1429.0,9.8,75.0,0.9093,23,3,7,1
130.0,1829.0,10.0,74.2,0.9117,23,3,8,1
132.0,2095.0,11.2,69.7,0.9232,23,3,9,1
129.0,1746.0,13.1,54.8,0.8234,23,3,12,1
132.0,1847.0,13.8,53.4,0.8351,23,3,13,1
110.0,1639.0,16.0,42.4,0.7674,23,3,14,1
99.0,1589.0,14.1,49.8,0.7971,23,3,15,1
122.0,1719.0,13.6,54.6,0.8465,23,3,17,1
112.0,1688.0,11.7,57.1,0.7822,23,3,19,1
128.0,1722.0,11.5,58.2,0.7867,23,3,20,1
96.0,1375.0,12.0,54.9,0.7664,23,3,22,1
85.0,1411.0,11.1,62.2,0.8199,24,3,0,2
61.0,1326.0,11.3,60.0,0.8025,24,3,2,2
66.0,1287.0,10.2,62.7,0.7813,24,3,4,2
54.0,1255.0,10.9,58.6,0.7628,24,3,5,2
57.0,1255.0,10.8,57.2,0.7382,24,3,6,2
75.0,1403.0,10.4,59.2,0.7455,24,3,7,2
97.0,1706.0,11.0,57.3,0.7501,24,3,8,2
113.0,1770.0,12.1,54.9,0.7734,24,3,10,2
88.0,1505.0,15.1,44.3,0.7535,24,3,11,2
85.0,1440.0,15.6,40.6,0.7146,24,3,12,2
106.0,1566.0,16.6,35.6,0.6697,24,3,14,2
91.0,1494.0,11.3,63.9,0.8554,24,3,15,2
126.0,1730.0,9.6,81.1,0.972,24,3,16,2
111.0,1722.0,10.7,68.5,0.8794,24,3,18,2
136.0,1744.0,10.8,65.7,0.8486,24,3,20,2
125.0,1571.0,10.3,66.3,0.8336,24,3,21,2
108.0,1435.0,10.1,66.9,0.8248,24,3,22,2
87.0,1354.0,10.4,61.1,0.7717,24,3,23,2
89.0,1341.0,10.3,59.9,0.7516,25,3,0,3
58.0,1249.0,11.0,58.4,0.7686,25,3,1,3
54.0,1253.0,9.1,68.1,0.789,25,3,2,3
28.0,1212.0,9.3,72.3,0.8496,25,3,4,3
51.0,1268.0,7.6,83.2,0.8695,25,3,6,3
82.0,1383.0,8.1,79.0,0.8544,25,3,7,3
119.0,1937.0,8.6,75.1,0.8415,25,3,9,3
99.0,1552.0,9.7,69.7,0.8389,25,3,10,3
98.0,1468.0,11.0,64.4,0.8447,25,3,11,3
88.0,1442.0,13.6,53.0,0.8209,25,3,12,3
92.0,1501.0,16.0,41.3,0.7462,25,3,15,3
88.0,1527.0,17.1,37.4,0.7225,25,3,17,3
141.0,2060.0,13.4,47.8,0.7293,25,3,19,3
133.0,1982.0,12.6,52.5,0.7642,25,3,20,3
92.0,1324.0,9.9,59.5,0.7276,25,3,23,3
97.0,1373.0,9.6,61.1,0.7323,26,3,0,4
91.0,1357.0,9.7,61.6,0.7425,26,3,1,4
83.0,1313.0,9.4,62.6,0.7398,26,3,2,4
59.0,1263.0,8.0,69.4,0.7459,26,3,4,4
78.0,1363.0,8.0,71.8,0.7711,26,3,6,4
90.0,1438.0,8.5,66.3,0.7375,26,3,7,4
114.0,1928.0,11.2,57.0,0.7544,26,3,9,4
119.0,1747.0,14.8,44.1,0.7407,26,3,10,4
121.0,1664.0,16.8,35.3,0.6729,26,3,11,4
97.0,1503.0,19.2,27.1,0.5976,26,3,12,4
99.0,1535.0,19.1,26.2,0.5741,26,3,13,4
85.0,1391.0,16.3,30.8,0.5683,26,3,14,4
75.0,1279.0,14.2,36.8,0.5922,26,3,15,4
102.0,1588.0,14.2,43.3,0.6982,26,3,17,4
105.0,1580.0,12.1,45.6,0.6403,26,3,18,4
93.0,1490.0,10.0,51.1,0.628,26,3,20,4
91.0,1308.0,9.8,50.8,0.6172,26,3,21,4
74.0,1258.0,9.9,50.2,0.6103,26,3,23,4
87.0,1307.0,9.4,53.4,0.63,27,3,0,5
79.0,1232.0,8.6,57.8,0.6488,27,3,1,5
63.0,1296.0,7.4,64.8,0.6683,27,3,4,5
59.0,1250.0,6.3,66.6,0.6409999999999999,27,3,6,5
65.0,1266.0,7.2,62.9,0.6396,27,3,7,5
71.0,1418.0,7.2,63.9,0.65,27,3,8,5
84.0,1530.0,11.1,50.5,0.6654,27,3,9,5
93.0,1520.0,15.5,36.1,0.6313,27,3,10,5
99.0,1451.0,17.8,29.2,0.5920000000000001,27,3,11,5
93.0,1449.0,17.6,30.1,0.6013,27,3,12,5
96.0,1467.0,19.1,26.8,0.5861,27,3,13,5
114.0,1596.0,17.7,28.6,0.5735,27,3,14,5
101.0,1357.0,17.8,28.4,0.5737,27,3,15,5
108.0,1538.0,18.7,26.0,0.5555,27,3,16,5
117.0,1508.0,17.1,31.3,0.6038,27,3,17,5
125.0,1586.0,15.8,36.1,0.644,27,3,18,5
119.0,1633.0,13.6,44.9,0.6991,27,3,20,5
107.0,1475.0,12.5,48.1,0.6946,27,3,21,5
96.0,1421.0,11.8,50.8,0.7042,27,3,22,5
105.0,1483.0,10.9,56.1,0.7326,27,3,23,5
102.0,1464.0,10.9,55.9,0.7277,28,3,0,6
97.0,1451.0,10.3,58.1,0.7278,28,3,1,6
79.0,1395.0,9.3,62.2,0.7294,28,3,2,6
69.0,1396.0,8.3,64.9,0.7124,28,3,4,6
52.0,1284.0,9.6,58.5,0.7,28,3,5,6
62.0,1342.0,7.7,66.4,0.6990000000000001,28,3,6,6
75.0,1382.0,9.7,58.6,0.7035,28,3,8,6
83.0,1486.0,12.5,50.1,0.7242,28,3,9,6
94.0,1501.0,16.8,36.9,0.7018,28,3,10,6
96.0,1514.0,19.2,31.3,0.6887,28,3,11,6
86.0,1438.0,21.3,26.4,0.6607,28,3,12,6
72.0,1287.0,21.2,23.1,0.5768,28,3,13,6
53.0,1189.0,18.6,25.0,0.5319,28,3,14,6
65.0,1260.0,18.0,27.3,0.5594,28,3,15,6
86.0,1301.0,15.6,35.0,0.617,28,3,18,6
94.0,1357.0,14.1,40.2,0.6438,28,3,19,6
103.0,1329.0,13.4,43.2,0.6623,28,3,20,6
81.0,1246.0,12.3,46.8,0.6686,28,3,21,6
77.0,1204.0,11.5,46.6,0.6319,28,3,23,6
59.0,1153.0,11.3,46.9,0.628,29,3,4,0
70.0,1180.0,10.1,51.2,0.6341,29,3,5,0
75.0,1232.0,9.9,50.7,0.6167,29,3,6,0
98.0,1293.0,15.6,30.1,0.5285,29,3,11,0
78.0,1272.0,16.5,29.0,0.5406,29,3,12,0
83.0,1332.0,17.5,27.9,0.5517,29,3,13,0
92.0,1268.0,17.9,26.8,0.5446,29,3,14,0
81.0,1247.0,18.2,26.1,0.5387,29,3,15,0
90.0,1289.0,18.0,27.1,0.5522,29,3,16,0
114.0,1477.0,16.1,31.3,0.568,29,3,18,0
106.0,1404.0,14.5,35.4,0.5839,29,3,19,0
99.0,1302.0,13.2,37.9,0.5733,29,3,20,0
90.0,1178.0,13.1,34.4,0.517,29,3,21,0
82.0,1137.0,13.5,28.5,0.4405,29,3,22,0
74.0,1089.0,12.4,31.9,0.4583,29,3,23,0
73.0,1130.0,10.5,42.9,0.5442,30,3,2,1
69.0,1101.0,12.2,37.2,0.5277,30,3,4,1
71.0,1117.0,12.9,33.9,0.5037,30,3,5,1
130.0,1947.0,13.3,35.6,0.5416,30,3,8,1
150.0,1852.0,16.3,28.8,0.5305,30,3,9,1
159.0,1872.0,17.9,28.2,0.5741,30,3,10,1
146.0,1754.0,18.3,26.6,0.5529,30,3,11,1
138.0,1763.0,20.8,22.5,0.5463,30,3,12,1
128.0,1711.0,22.4,20.0,0.5352,30,3,13,1
91.0,1372.0,19.1,26.5,0.579,30,3,15,1
99.0,1527.0,17.3,34.7,0.6788,30,3,17,1
106.0,1638.0,15.9,42.0,0.7541,30,3,19,1
102.0,1534.0,15.9,43.5,0.779,30,3,20,1
84.0,1360.0,15.0,46.1,0.7833,30,3,21,1
82.0,1287.0,14.8,41.0,0.685,31,3,0,2
26.0,1064.0,14.5,36.1,0.5928,31,3,4,2
58.0,1131.0,14.6,36.0,0.5947,31,3,5,2
110.0,1926.0,13.8,58.2,0.9129,31,3,7,2
115.0,1957.0,13.2,61.1,0.9256,31,3,8,2
125.0,1576.0,10.4,74.4,0.9384,31,3,9,2
118.0,1498.0,11.5,71.0,0.9582,31,3,10,2
123.0,1772.0,12.3,73.3,1.0442,31,3,12,2
114.0,1638.0,11.3,78.1,1.0411,31,3,13,2
114.0,1748.0,13.6,69.2,1.0746,31,3,14,2
111.0,1637.0,15.7,50.9,0.8997,31,3,16,2
103.0,1681.0,15.2,52.9,0.9087,31,3,17,2
107.0,1669.0,14.3,52.9,0.8581,31,3,19,2
105.0,1588.0,13.2,56.0,0.8446,31,3,20,2
91.0,1418.0,12.6,57.0,0.8315,31,3,21,2
79.0,1409.0,12.3,57.8,0.8224,31,3,22,2
86.0,1477.0,12.0,61.6,0.8593,1,4,0,6
70.0,1425.0,11.5,63.9,0.8652,1,4,1,6
55.0,1405.0,10.7,67.2,0.863,1,4,2,6
49.0,1322.0,10.2,66.6,0.8299,1,4,4,6
139.0,2001.0,16.2,48.6,0.8892,1,4,9,6
113.0,1701.0,19.2,39.6,0.8693,1,4,10,6
88.0,1489.0,19.7,38.4,0.8743,1,4,11,6
73.0,1524.0,20.6,36.7,0.8797,1,4,12,6
106.0,1193.0,23.6,27.5,0.7913,1,4,17,6
124.0,1604.0,16.8,44.0,0.8341,1,4,21,6
103.0,1529.0,14.9,52.0,0.8757,1,4,23,6
104.0,1514.0,14.1,54.4,0.8701,2,4,0,2
109.0,1833.0,11.9,73.7,1.0254,2,4,7,2
139.0,2054.0,13.6,65.3,1.0136,2,4,9,2
127.0,1898.0,16.9,52.3,1.0013,2,4,10,2
127.0,1821.0,19.4,44.1,0.9855,2,4,11,2
135.0,1825.0,22.9,33.8,0.9322,2,4,12,2
130.0,1773.0,23.6,31.3,0.9001,2,4,13,2
126.0,1761.0,24.7,30.5,0.9371,2,4,14,2
121.0,1703.0,26.1,27.3,0.9101,2,4,15,2
122.0,1632.0,27.6,22.8,0.8288,2,4,16,2
138.0,1799.0,26.9,22.3,0.7792,2,4,17,2
165.0,1915.0,24.3,30.1,0.9012,2,4,18,2
154.0,2052.0,21.2,40.1,0.9978,2,4,19,2
168.0,2083.0,19.4,42.5,0.9483,2,4,20,2
146.0,1685.0,18.5,43.0,0.9074,2,4,21,2
124.0,1582.0,17.8,47.0,0.9467,2,4,22,2
124.0,1684.0,16.8,53.2,1.01,2,4,23,2
88.0,1488.0,16.2,54.2,0.9933,3,4,1,3
74.0,1380.0,14.5,58.0,0.9488,3,4,4,3
64.0,1387.0,13.7,61.6,0.9631,3,4,5,3
69.0,1398.0,13.9,59.6,0.9408,3,4,6,3
91.0,1660.0,13.3,61.7,0.9399,3,4,7,3
96.0,1872.0,15.1,55.8,0.9486,3,4,8,3
106.0,1816.0,17.0,50.5,0.9684,3,4,9,3
124.0,1836.0,15.6,57.4,1.0075,5,4,10,1
114.0,1942.0,17.0,54.3,1.0434,5,4,12,1
114.0,1915.0,18.0,51.5,1.0552,5,4,13,1
106.0,1793.0,19.5,47.5,1.0653,5,4,14,1
89.0,1705.0,21.6,41.7,1.0606,5,4,15,1
82.0,1662.0,22.2,38.3,1.0106,5,4,16,1
111.0,1877.0,20.3,42.8,1.0053,5,4,17,1
132.0,2011.0,19.7,45.4,1.0312,5,4,18,1
121.0,1957.0,18.8,47.5,1.0199,5,4,19,1
116.0,1796.0,17.9,49.4,1.0064,5,4,20,1
89.0,1589.0,17.4,51.8,1.023,5,4,22,1
92.0,1554.0,17.0,53.9,1.0363,5,4,23,1
71.0,1428.0,16.6,55.4,1.0408,6,4,0,4
51.0,1382.0,15.9,57.0,1.0224,6,4,1,4
39.0,1336.0,15.0,59.2,1.0059,6,4,2,4
64.0,1435.0,14.6,58.8,0.9711,6,4,5,4
94.0,1641.0,14.4,58.9,0.9594,6,4,6,4
134.0,2198.0,15.3,55.2,0.9538,6,4,7,4
125.0,2096.0,18.4,46.3,0.9734,6,4,9,4
107.0,1823.0,19.6,41.8,0.9407,6,4,10,4
78.0,1580.0,20.2,40.1,0.937,6,4,11,4
91.0,1818.0,20.9,36.6,0.8939,6,4,12,4
131.0,1630.0,19.3,35.4,0.7813,6,4,14,4
113.0,1519.0,18.6,36.9,0.7829,6,4,15,4
116.0,1716.0,17.5,40.6,0.8068,6,4,17,4
120.0,1776.0,16.8,44.3,0.8428,6,4,18,4
126.0,1784.0,16.3,47.7,0.8746,6,4,19,4
126.0,1807.0,15.6,50.7,0.8947,6,4,20,4
90.0,1527.0,15.7,49.4,0.8768,6,4,21,4
81.0,1458.0,15.8,48.6,0.8653,6,4,22,4
74.0,1393.0,15.7,47.0,0.8325,6,4,23,4
67.0,1352.0,15.7,45.9,0.8121,7,4,0,6
30.0,1214.0,15.6,44.4,0.7827,7,4,2,6
32.0,1200.0,15.3,50.1,0.8617,7,4,5,6
61.0,1398.0,14.2,58.6,0.9443,7,4,6,6
111.0,1769.0,14.3,58.2,0.9431,7,4,7,6
102.0,1821.0,15.0,52.0,0.8817,7,4,8,6
116.0,1576.0,13.6,61.4,0.9519,7,4,9,6
96.0,1554.0,16.1,53.1,0.9675,7,4,10,6
97.0,1448.0,16.6,44.3,0.8294,7,4,11,6
103.0,1604.0,18.1,42.2,0.8679,7,4,13,6
79.0,1426.0,14.4,51.8,0.8433,7,4,14,6
96.0,1623.0,18.0,37.1,0.7598,7,4,17,6
129.0,1748.0,11.3,71.3,0.9514,7,4,19,6
116.0,1632.0,10.0,74.0,0.9087,7,4,20,6
101.0,1510.0,9.6,76.0,0.9088,7,4,23,6
97.0,1398.0,9.3,75.0,0.8799,8,4,0,2
89.0,1455.0,9.0,76.7,0.8825,8,4,1,2
62.0,1288.0,8.1,72.1,0.7798,8,4,5,2
64.0,1384.0,8.1,70.4,0.7609,8,4,6,2
80.0,1723.0,8.1,70.5,0.7627,8,4,7,2
113.0,1620.0,16.5,42.6,0.7912,8,4,10,2
125.0,1609.0,20.4,26.7,0.6323,8,4,13,2
128.0,1551.0,20.6,22.6,0.5432,8,4,14,2
101.0,1552.0,20.6,24.8,0.5931,8,4,15,2
95.0,1454.0,21.0,25.4,0.6264,8,4,16,2
138.0,1798.0,21.5,24.5,0.6203,8,4,17,2
154.0,1972.0,19.3,28.6,0.6357,8,4,18,2
171.0,2167.0,18.0,32.9,0.6737,8,4,19,2
136.0,1699.0,15.8,39.8,0.7096,8,4,20,2
99.0,1411.0,14.1,46.0,0.7363,8,4,22,2
95.0,1560.0,12.0,67.9,0.9523,9,4,23,5
79.0,1449.0,12.0,66.9,0.9336,10,4,0,0
78.0,1533.0,11.5,70.1,0.9503,10,4,1,0
75.0,1507.0,11.4,69.8,0.9390000000000001,10,4,2,0
52.0,1386.0,10.8,70.3,0.9092,10,4,4,0
55.0,1435.0,10.2,73.4,0.9129,10,4,5,0
76.0,1663.0,12.4,64.0,0.9206,10,4,8,0
84.0,1588.0,15.0,53.1,0.8993,10,4,9,0
90.0,1542.0,16.6,44.4,0.8313,10,4,10,0
89.0,1481.0,18.0,38.4,0.7862,10,4,11,0
87.0,1457.0,20.6,30.0,0.7213,10,4,12,0
88.0,1336.0,19.9,26.7,0.6137,10,4,13,0
81.0,1238.0,19.8,23.1,0.5283,10,4,14,0
